               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.034511,            0.023613,           0.0080285,             0.19736,             0.24317,             0.12931,            0.029485,             0.03487,            0.033264,           0.0092406,            0.004159,            0.004159,            0.004159
                 120,            0.034078,             0.02393,           0.0078418,             0.17972,             0.27465,             0.15277,            0.035175,            0.034348,            0.032878,           0.0084818,           0.0041095,           0.0041095,           0.0041095
                 121,            0.032876,            0.023505,           0.0077321,             0.17269,             0.31182,             0.17135,            0.044632,            0.034043,            0.032621,           0.0079012,             0.00406,             0.00406,             0.00406
                 122,            0.033316,            0.022324,           0.0075624,             0.16592,             0.30481,             0.15824,            0.039151,            0.034079,            0.032463,           0.0077216,           0.0040105,           0.0040105,           0.0040105
                 123,            0.033071,            0.023542,           0.0072931,             0.20345,             0.29811,             0.14077,            0.036576,            0.034841,            0.032436,           0.0078549,            0.003961,            0.003961,            0.003961
                 124,            0.034812,            0.022888,           0.0074963,             0.15159,             0.26099,             0.12653,             0.02898,            0.034181,            0.030951,           0.0073424,           0.0039115,           0.0039115,           0.0039115
                 125,            0.032734,            0.024062,           0.0074047,             0.23552,             0.25172,             0.12784,            0.030808,            0.034766,            0.032125,           0.0079516,            0.003862,            0.003862,            0.003862
                 126,            0.032282,            0.024818,           0.0073928,             0.11735,             0.19894,            0.086937,            0.019308,            0.035137,            0.029649,           0.0074445,           0.0038125,           0.0038125,           0.0038125
                 127,            0.034223,            0.023533,           0.0072816,             0.19002,             0.30816,             0.17224,            0.044388,             0.03363,            0.031132,           0.0071158,            0.003763,            0.003763,            0.003763
                 128,            0.033688,             0.02325,           0.0071681,            0.077337,             0.14188,            0.056125,           0.0092759,            0.034986,            0.029967,           0.0072699,           0.0037135,           0.0037135,           0.0037135
                 129,            0.034048,            0.022419,           0.0070121,             0.15448,             0.29137,             0.14885,            0.037782,            0.034575,            0.031542,           0.0071969,            0.003664,            0.003664,            0.003664
                 130,              0.0326,            0.025559,           0.0071776,             0.18052,             0.32273,             0.17143,            0.040204,            0.034041,             0.03212,           0.0072285,           0.0036145,           0.0036145,           0.0036145
                 131,            0.032509,            0.024254,           0.0069851,             0.18005,             0.33196,             0.17621,            0.046852,            0.033729,            0.031803,           0.0070551,            0.003565,            0.003565,            0.003565
                 132,            0.032123,            0.024377,           0.0068159,             0.18992,             0.33502,             0.18567,            0.048757,            0.033547,            0.031837,           0.0068763,           0.0035155,           0.0035155,           0.0035155
                 133,            0.032856,            0.022699,           0.0067639,             0.17843,             0.31375,             0.17395,            0.045845,            0.033598,             0.03169,           0.0069285,            0.003466,            0.003466,            0.003466
                 134,            0.032042,            0.023285,            0.006709,              0.1944,             0.30109,             0.18173,            0.040448,              0.0334,            0.032401,            0.006998,           0.0034165,           0.0034165,           0.0034165
                 135,            0.032461,            0.022962,           0.0066053,             0.15838,             0.27746,             0.14049,            0.030757,            0.033781,            0.032453,           0.0069426,            0.003367,            0.003367,            0.003367
                 136,            0.032591,            0.023518,            0.006486,             0.15453,             0.30632,             0.14973,            0.036086,            0.033977,            0.031636,           0.0068857,           0.0033175,           0.0033175,           0.0033175
                 137,            0.032775,             0.02285,           0.0065859,             0.18999,             0.32843,             0.17853,            0.042392,             0.03339,            0.031877,           0.0067363,            0.003268,            0.003268,            0.003268
                 138,            0.031707,            0.024939,           0.0066644,             0.19624,              0.3155,             0.19162,            0.052183,            0.033545,            0.032923,           0.0069172,           0.0032185,           0.0032185,           0.0032185
                 139,            0.033642,            0.023501,           0.0065629,             0.17956,             0.31865,              0.1744,            0.047067,            0.033804,            0.031899,            0.006882,            0.003169,            0.003169,            0.003169
                 140,            0.032813,            0.022865,           0.0064781,             0.16871,             0.33422,             0.16816,            0.045637,            0.033732,            0.031509,           0.0065278,           0.0031195,           0.0031195,           0.0031195
                 141,            0.032658,            0.023029,           0.0064365,             0.19104,             0.30738,             0.18577,            0.049889,            0.033602,            0.032006,           0.0065835,             0.00307,             0.00307,             0.00307
                 142,            0.033271,            0.023113,           0.0064589,             0.16925,             0.32037,             0.17255,            0.047781,            0.033969,            0.031638,           0.0067338,           0.0030205,           0.0030205,           0.0030205
                 143,            0.032758,            0.024614,           0.0062942,             0.19533,             0.33289,             0.19374,            0.050162,            0.033433,            0.030896,            0.006458,            0.002971,            0.002971,            0.002971
                 144,            0.032092,            0.023614,           0.0061246,             0.19786,             0.31785,             0.18385,            0.046286,            0.033391,            0.030958,           0.0062963,           0.0029215,           0.0029215,           0.0029215
                 145,            0.031217,            0.023648,           0.0060823,             0.18646,             0.33725,             0.18231,            0.047817,            0.033364,            0.031457,           0.0062711,            0.002872,            0.002872,            0.002872
                 146,            0.031751,            0.023625,           0.0061676,              0.1916,             0.36109,             0.19526,            0.049746,            0.033014,            0.031716,           0.0062231,           0.0028225,           0.0028225,           0.0028225
                 147,            0.031903,            0.023856,           0.0060598,             0.19087,             0.34989,             0.18989,            0.051109,            0.033341,            0.031955,           0.0063954,            0.002773,            0.002773,            0.002773
                 148,            0.031369,            0.024568,           0.0059766,             0.21207,             0.35067,             0.21017,            0.052837,            0.033093,            0.032144,           0.0062058,           0.0027235,           0.0027235,           0.0027235
                 149,            0.031095,            0.024439,           0.0059568,             0.19822,             0.35856,             0.20005,            0.053238,             0.03306,            0.031818,           0.0060631,            0.002674,            0.002674,            0.002674
                 150,            0.031749,            0.023457,           0.0060438,             0.19349,             0.35648,             0.19269,            0.051922,            0.033177,            0.031857,           0.0060306,           0.0026245,           0.0026245,           0.0026245
                 151,            0.031564,            0.023609,           0.0060045,             0.19084,             0.35719,             0.20231,            0.052476,            0.033335,            0.031296,           0.0061547,            0.002575,            0.002575,            0.002575
                 152,            0.031916,            0.023855,           0.0060544,             0.19504,             0.35041,             0.20292,            0.057142,            0.033324,            0.031427,           0.0059865,           0.0025255,           0.0025255,           0.0025255
                 153,            0.032006,            0.024789,           0.0059134,             0.19508,             0.35759,             0.19833,            0.056363,            0.033029,            0.031685,           0.0059699,            0.002476,            0.002476,            0.002476
                 154,             0.03142,            0.023401,           0.0058669,              0.1991,             0.33291,             0.19448,            0.042484,            0.033041,            0.031146,           0.0058539,           0.0024265,           0.0024265,           0.0024265
                 155,            0.031863,              0.0227,           0.0058803,              0.2013,             0.29787,              0.1797,            0.037126,            0.033509,            0.031898,           0.0061996,            0.002377,            0.002377,            0.002377
                 156,            0.030683,            0.024277,           0.0057529,             0.21333,             0.32437,             0.20324,            0.047489,            0.033223,            0.031335,           0.0060817,           0.0023275,           0.0023275,           0.0023275
                 157,            0.031789,             0.02263,           0.0057438,             0.21149,             0.33564,             0.19987,            0.041666,            0.032922,            0.031299,           0.0057988,            0.002278,            0.002278,            0.002278
                 158,            0.031269,            0.023559,           0.0055582,             0.19988,             0.32572,             0.19876,            0.055105,              0.0332,            0.031849,           0.0058486,           0.0022285,           0.0022285,           0.0022285
                 159,            0.031785,            0.023784,           0.0056855,             0.21141,             0.35224,              0.2127,            0.058112,             0.03299,            0.031546,           0.0058182,            0.002179,            0.002179,            0.002179
